Provider,Outline
Able Futures,Mental health workplace support service
AMPI,Advanced manufacturing research partnership hub
Barclays Eagle Labs,Start-up and scale-up workspace
Business Growth Hub,Greater Manchester business growth support
Border AI,Artificial intelligence development company
Build a Business,Library-based business growth support
Business & IP Centre (BIPC),Business advice and IP resources
Business Support Experts,General SME consultancy and guidance
Catax,R&D tax credit specialists
Catapults,National innovation and tech centres
Centre for Hydrogen (MMU),Low-carbon energy innovation accelerator
CDI,Digital innovation and tech support
CITB,Construction industry training board
College Support,"Skills, apprenticeships, facilities, WXP"
Counting King,R&D funding and tax advice
Daresbury Sci-Tech,"Prototypes, innovation support, grants, incubator"
Department for Business & Trade,UK government business support department
DISH,Digital security and cyber hub
Early Stage Start-ups,New business mentoring and support
Enterprising You,GM self-employed and SME programme
FSB,Small business membership organisation
Generator Mcr,Start up workplace and support
GMCA,Greater Manchester Combined Authority support
GM Chamber of Commerce,Networking and trade support
GM Libraries,Business advice and IP resources
GMCVO (In adminstation),Voluntary sector support organisation
Graphene Institute,Research on graphene applications
Grantline,Funding opportunities and bid support
Green Economy,Sustainability support for businesses
Hartree Catapult,High performance computing research centre
Health Innovation Service,NHS innovation and health tech
HOST,Digital skills and innovation hub
Igloo (SHOULD SUPPLIERS BE INCLUDED?),Immersive Room retail
IN4 Group,Digital skills and AI training
Innovate UK,Business Growth programmeÿ? formerly Innovate UK Edge
Innovate UK,Government innovation funding body
INTEC,AI platform and solutions provider
IPO (Intellectual Property Office),IP registration and advice
Know Digital,Online learning for all things digital
KPMG Digital,Digital transformation consultancy
Livaty,Housing association with grant schemes
Made Smarter,Manufacturing digital adoption programme
Manchester Community Central (Macc),Voluntary sector infrastructure support
Manoxtra Digital,Digital marketing and transformation services
MIDAS,Inward investment agency for Manchester
Media City Immersive Technologies Innovation Hub,Hub for innovation in immersive technologies based at MediaCity
MMU,University with research and innovation hubs
Music Futures,Music industry growth initiative
NERIC Robotics,Robotics and automation innovation centre
NW Cyber Resilience Centre,Cybersecurity advice for businesses
Open SME,Free online business modules
Print City,3D printing education and services
SCAN,"Tech retailer, CDI partner"
Sustainable Ventures,Climate tech investment and workspace
Supply Chain Sustainability School,Sustainability training
Tiny Labs,Education technology solutions
Turing Innovtion Catalyst,AI accelerator and innovation space
"Trade Bodies e.g., UKFT",BritishÿTradeÿAssociations - Online Directory
UKRI,UK research and innovation funder
University of Manchester,University with research and innovation hubs
Manchester Metropoliton University,University with research and innovation hubs
University of Salford,University with research and innovation hubs
University of Greater Manchester (Bolton),"Research, innovation and collaboration projects"
ZAPT,
